### MAJORS ###
FIC = "countries/French Indochina.txt"
FIJ = "countries/Fiji.txt"
FIN = "countries/Finland.txt"
FNG = "countries/Fengtian.txt"
FSM = "countries/Micronesia.txt"
FWA = "countries/French West Africa.txt"

GAB = "countries/Gabon.txt"
GAM = "countries/Gambia.txt"
GDL = "countries/Guadeloupe.txt"
GEO = "countries/Georgia.txt"
GHA = "countries/Ghana.txt"
GLC = "countries/Galicia.txt"
GNA = "countries/Guinea.txt"
GNB = "countries/Guinea-Bissau.txt"
GRE = "countries/Greece.txt"
GUA = "countries/Guatemala.txt"
GUM = "countries/Guam.txt"
GXC = "countries/Guangxi.txt"
GYA = "countries/Guyana.txt"

HAI = "countries/Haiti.txt"
HAN = "countries/Hanover.txt"
HAW = "countries/Hawaii.txt"
HEZ = "countries/Hejaz.txt"
HOL	= "countries/Holland.txt"
HON = "countries/Honduras.txt"
HUN = "countries/Hungary.txt"

ICE = "countries/Iceland.txt"
IND = "countries/India.txt"
INS = "countries/Indonesia.txt"
IRE = "countries/Ireland.txt"
IRQ = "countries/Iraq.txt"
ISR = "countries/Israel.txt"
IVO = "countries/Ivory Coast.txt"

JAM = "countries/Jamaica.txt"
JOR = "countries/Jordan.txt"

KAZ = "countries/Kazakhstan.txt"
KEN = "countries/Kenya.txt"
KHV = "countries/Khiva.txt"
KOR = "countries/Korea.txt"
KUW = "countries/Kuwait.txt"
KYR = "countries/Kyrgyzstan.txt"

LAO = "countries/Laos.txt"
LAT	= "countries/Latvia.txt"
LBA = "countries/Libya.txt"
LEB = "countries/Lebanon.txt"
LIB = "countries/Liberia.txt"
LIT	= "countries/Lithuania.txt"
LUX	= "countries/Luxemburg.txt"

MAC = "countries/Macedonia.txt"
MAD = "countries/Madagascar.txt"
MAL = "countries/Malaysia.txt"
MAN = "countries/Manchukou.txt"
MEK = "countries/Mecklenburg.txt"
MEN = "countries/Mengkukuo.txt"
MEX = "countries/Mexico.txt"
MLD = "countries/Maldives.txt"
MLI = "countries/Mali.txt"
MLT = "countries/Malta.txt"
MLW = "countries/Malawi.txt"
MNT = "countries/Montenegro.txt"
MOL = "countries/Moldova.txt"
MON = "countries/Mongolia.txt"
MOR = "countries/Morocco.txt"
MRT = "countries/Mauritania.txt"
MZB = "countries/Mozambique.txt"

NAV = "countries/Navarra.txt"
NEP = "countries/Nepal.txt"
NFL = "countries/Newfoundland.txt"
NGA = "countries/Nigeria.txt"
NGR = "countries/Niger.txt"
NIC = "countries/Nicaragua.txt"
NIR = "countries/Northern Ireland.txt"
NMB = "countries/Namibia.txt"
NOR = "countries/Norway.txt"
NRR = "countries/North Russia.txt"
NZL = "countries/New Zealand.txt"

OCC = "countries/Occitania.txt"
OMA = "countries/Oman.txt"

PAK = "countries/Pakistan.txt"
PAL = "countries/Palestine.txt"
PAN = "countries/Panama.txt"
PAR = "countries/Paraguay.txt"
PER = "countries/Persia.txt"
PHI = "countries/Philippines.txt"
PNB = "countries/Pola.txt"
PNG = "countries/Papua New Guinea.txt"
POL	= "countries/Poland.txt"
POR = "countries/Portugal.txt"
PRC = "countries/Communist China.txt"
PRE = "countries/Prussia.txt"
PRU = "countries/Peru.txt"
PUE = "countries/Puerto Rico.txt"

QAT = "countries/Qatar.txt"

RAJ = "countries/British Raj.txt"
RCG = "countries/Republic of Congo.txt"
ROM = "countries/Romania.txt"
RWA = "countries/Rwanda.txt"

SAF = "countries/South Africa.txt"
SAM = "countries/Samoa.txt"
SAU = "countries/Saudi Arabia.txt"
SAX = "countries/Saxony.txt"
SCM = "countries/Straits Commission.txt"
SCO = "countries/Scotland.txt"
SEN = "countries/Senegal.txt"
SER = "countries/Serbia.txt"
SHD = "countries/Shandong.txt"
SHL = "countries/Schleswig.txt"
SHX = "countries/Shanxi.txt"
SIA = "countries/Siam.txt"
SIE = "countries/Sierra Leone.txt"
SIK = "countries/Sinkiang.txt"
SLO = "countries/Slovakia.txt"
SLV = "countries/Slovenia.txt"
SOL = "countries/Solomon.txt"
SOM = "countries/Somalia.txt"
SPR = "countries/Spain.txt"
SRL = "countries/Sri Lanka.txt"
SRV = "countries/Socialist Vietnam.txt"
SRW = "countries/Sarawak.txt"
SUD = "countries/Sudan.txt"
SUR = "countries/Suriname.txt"
SWE	= "countries/Sweden.txt"
SWI = "countries/Switzerland.txt"
SYR = "countries/Syria.txt"
SZC = "countries/Sichuan.txt"

TAN = "countries/Tannu Tuva.txt"
TAH = "countries/Tahiti.txt"
TAJ = "countries/Tajikistan.txt"
TIB = "countries/Tibet.txt"
TMS = "countries/Turkmenistan.txt"
TOG = "countries/Togo.txt"
TRI = "countries/Trinidad and Tobago.txt"
TRS = "countries/Transylvania.txt"
TUN = "countries/Tunisia.txt"
TUR = "countries/Turkey.txt"
TZN = "countries/Tanzania.txt"

UAE = "countries/United Arab Emirates.txt"
UGA = "countries/Uganda.txt"
UKR = "countries/Ukraine.txt"
UOB = "countries/Union of Brazil.txt"
URG = "countries/Uruguay.txt"
UZB = "countries/Uzbekistan.txt"

VEN = "countries/Venezula.txt"
VIN = "countries/Vietnam.txt"
VOL = "countries/Upper Volta.txt"

WES = "countries/Western Sahara.txt"
WGR = "countries/West Germany.txt"
WLS = "countries/Wales.txt"
WUR = "countries/Wurtemberg.txt"

XSM = "countries/Xibei San Ma.txt"

YUC = "countries/Yucatan.txt"
YUG = "countries/Yugoslavia.txt"
YUN = "countries/Yunnan.txt"
YEM = "countries/Yeman.txt"

ZAM = "countries/Zambia.txt"
ZIM = "countries/Zimbabwe.txt"

### Slated for eventual removal ###
NEE = "countries/New England.txt"
IDE = "countries/Idel-Ural.txt"
ALT = "countries/Altai.txt"
SBR = "countries/Siberia.txt"
USS = "countries/Ussuri Cossack Host.txt"
ORE = "countries/Orenburg Cossack Host.txt"
TRB = "countries/Transbaikalia.txt"
URL = "countries/Ural Cossack Host.txt"
AMU = "countries/Amur Cossack Host.txt"
PRI = "countries/Primorye.txt"
TKS = "countries/Tashkent Soviet.txt"
KOK = "countries/Kokand.txt"
SCH = "countries/Semirechye Cossack Host.txt"
TMY = "countries/Talyshstan.txt"
HSR = "countries/Hungarian Socialist Republic.txt"
WUK = "countries/West Ukraine.txt"
KRA = "countries/Krakow.txt"
BUK = "countries/Bukovina.txt"
GIL = "countries/Gilan.txt"
KHR = "countries/Khorasan.txt"
KRD = "countries/Kurdistan.txt"
PON = "countries/Pontus.txt"
OTT = "countries/Ottoman.txt"

### China ###
GUD = "countries/Guangdong.txt"
ZHE = "countries/Zhejiang.txt"
ANH = "countries/Anhui.txt"
QIE = "countries/Qing.txt"
ZHI = "countries/Zhili.txt"
HNN = "countries/Hunan.txt"
NGX = "countries/Ningxia.txt"
YUL = "countries/Yulin.txt"
SHA = "countries/Shaanxi.txt"
XIK = "countries/Xikang.txt"
GUI = "countries/Guizhou.txt"
KUM = "countries/Kumul.txt"
